iter	Passed	Remaining
791	15682	4118
792	15687	4095
793	15693	4071
794	15699	4048
795	15704	4024
796	15708	4001
797	15714	3977
798	15719	3954
799	15724	3931
800	15729	3907
801	15735	3884
802	15740	3861
803	15746	3838
804	15751	3815
805	15756	3792
806	15761	3769
807	15766	3746
808	15771	3723
809	15776	3700
810	15782	3678
811	15787	3655
812	15792	3632
813	15797	3609
814	15801	3586
815	15806	3564
816	15811	3541
817	15815	3518
818	15820	3496
819	15824	3473
820	15829	3451
821	15833	3428
822	15838	3406
823	15843	3384
824	15848	3361
825	15852	3339
826	15857	3317
827	15861	3294
828	15865	3272
829	15870	3250
830	15874	3228
831	15878	3206
832	15882	3184
833	15887	3162
834	15892	3140
835	15897	3118
836	15902	3096
837	15907	3075
838	15912	3053
839	15917	3031
840	15922	3010
841	15928	2988
842	15933	2967
843	15938	2945
844	15943	2924
845	15948	2903
846	15954	2881
847	15958	2860
848	15964	2839
849	15968	2818
850	15974	2796
851	15979	2775
852	15984	2754
853	15989	2733
854	15994	2712
855	15998	2691
856	16004	2670
857	16009	2649
858	16014	2628
859	16019	2607
860	16024	2587
861	16029	2566
862	16034	2545
863	16039	2524
864	16044	2504
865	16050	2483
866	16056	2463
867	16061	2442
868	16066	2421
869	16071	2401
870	16078	2381
871	16083	2360
872	16088	2340
873	16093	2320
874	16098	2299
875	16104	2279
876	16109	2259
877	16115	2239
878	16121	2219
879	16126	2199
880	16131	2178
881	16136	2158
882	16141	2138
883	16146	2118
884	16152	2098
885	16157	2078
886	16162	2059
887	16167	2039
888	16173	2019
889	16179	1999
890	16185	1980
891	16190	1960
892	16195	1940
893	16200	1920
894	16205	1901
895	16211	1881
896	16216	1862
897	16222	1842
898	16227	1823
899	16232	1803
900	16237	1784
901	16242	1764
902	16247	1745
903	16252	1725
904	16257	1706
905	16262	1687
906	16268	1668
907	16273	1648
908	16278	1629
909	16283	1610
910	16288	1591
911	16293	1572
912	16298	1553
913	16303	1534
914	16308	1514
915	16313	1496
916	16319	1477
917	16324	1458
918	16329	1439
919	16334	1420
920	16339	1401
921	16343	1382
922	16348	1363
923	16353	1345
924	16358	1326
925	16363	1307
926	16368	1288
927	16373	1270
928	16378	1251
929	16383	1233
930	16389	1214
931	16394	1196
932	16398	1177
933	16402	1159
934	16407	1140
935	16411	1122
936	16416	1103
937	16421	1085
938	16426	1067
939	16431	1048
940	16436	1030
941	16441	1012
942	16446	994
943	16451	975
944	16456	957
945	16461	939
946	16466	921
947	16471	903
948	16476	885
949	16481	867
950	16487	849
951	16491	831
952	16496	813
953	16501	795
954	16506	777
955	16511	759
956	16516	742
957	16521	724
958	16526	706
959	16532	688
960	16537	671
961	16542	653
962	16549	635
963	16554	618
964	16559	600
965	16564	583
966	16569	565
967	16575	547
968	16580	530
969	16585	512
970	16590	495
971	16596	478
972	16601	460
973	16607	443
974	16613	425
975	16619	408
976	16625	391
977	16631	374
978	16636	356
979	16641	339
980	16647	322
981	16653	305
982	16658	288
983	16663	270
984	16670	253
985	16675	236
986	16680	219
987	16686	202
988	16691	185
989	16696	168
990	16702	151
991	16707	134
992	16712	117
993	16717	100
994	16723	84
995	16729	67
996	16734	50
997	16739	33
998	16744	16
999	16750	0
